ParkName;Date;RecreationVisits
Acadia NP;01/01/1979;6011
Acadia NP;01/02/1979;5243
Acadia NP;01/03/1979;11165
Acadia NP;01/04/1979;219351
Acadia NP;01/05/1979;339416
Acadia NP;01/06/1979;543205
Acadia NP;01/07/1979;383341
Acadia NP;01/08/1979;466928
Acadia NP;01/09/1979;320138
Acadia NP;01/10/1979;300976
Acadia NP;01/11/1979;183750
Acadia NP;01/12/1979;7842
Acadia NP;01/01/1980;8966
Acadia NP;01/02/1980;8225
Acadia NP;01/03/1980;7505
Acadia NP;01/04/1980;182879
Acadia NP;01/05/1980;209301
Acadia NP;01/06/1980;359552
Acadia NP;01/07/1980;533885
Acadia NP;01/08/1980;633067
Acadia NP;01/09/1980;282636
Acadia NP;01/10/1980;332937
Acadia NP;01/11/1980;200461
Acadia NP;01/12/1980;20252
Acadia NP;01/01/1981;23330
Acadia NP;01/02/1981;16207
Acadia NP;01/03/1981;21923
Acadia NP;01/04/1981;188071
Acadia NP;01/05/1981;212500
Acadia NP;01/06/1981;366518
Acadia NP;01/07/1981;545981
Acadia NP;01/08/1981;616233
Acadia NP;01/09/1981;463823
Acadia NP;01/10/1981;313788
Acadia NP;01/11/1981;203741
Acadia NP;01/12/1981;25857
Acadia NP;01/01/1982;21425
Acadia NP;01/02/1982;22210
Acadia NP;01/03/1982;36866
Acadia NP;01/04/1982;193208
Acadia NP;01/05/1982;261452
Acadia NP;01/06/1982;404915
Acadia NP;01/07/1982;737860
Acadia NP;01/08/1982;574164
Acadia NP;01/09/1982;541721
Acadia NP;01/10/1982;446170
Acadia NP;01/11/1982;303753
Acadia NP;01/12/1982;28370
Acadia NP;01/01/1983;23771
Acadia NP;01/02/1983;24667
Acadia NP;01/03/1983;25576
Acadia NP;01/04/1983;207347
Acadia NP;01/05/1983;287861
Acadia NP;01/06/1983;435142
Acadia NP;01/07/1983;916474
Acadia NP;01/08/1983;715624
Acadia NP;01/09/1983;668981
Acadia NP;01/10/1983;529524
Acadia NP;01/11/1983;262444
Acadia NP;01/12/1983;27228
Acadia NP;01/01/1984;24273
Acadia NP;01/02/1984;26185
Acadia NP;01/03/1984;37289
Acadia NP;01/04/1984;229638
Acadia NP;01/05/1984;271964
Acadia NP;01/06/1984;458908
Acadia NP;01/07/1984;790392
Acadia NP;01/08/1984;865843
Acadia NP;01/09/1984;443622
Acadia NP;01/10/1984;361873
Acadia NP;01/11/1984;194735
Acadia NP;01/12/1984;30041
Acadia NP;01/01/1985;31360
Acadia NP;01/02/1985;23261
Acadia NP;01/03/1985;46315
Acadia NP;01/04/1985;261410
Acadia NP;01/05/1985;341775
Acadia NP;01/06/1985;432926
Acadia NP;01/07/1985;725951
Acadia NP;01/08/1985;816294
Acadia NP;01/09/1985;451026
Acadia NP;01/10/1985;373037
Acadia NP;01/11/1985;206970
Acadia NP;01/12/1985;35245
Acadia NP;01/01/1986;28369
Acadia NP;01/02/1986;33055
Acadia NP;01/03/1986;47390
Acadia NP;01/04/1986;257926
Acadia NP;01/05/1986;411604
Acadia NP;01/06/1986;486835
Acadia NP;01/07/1986;717864
Acadia NP;01/08/1986;809273
Acadia NP;01/09/1986;488247
Acadia NP;01/10/1986;407396
Acadia NP;01/11/1986;204770
Acadia NP;01/12/1986;36325
Acadia NP;01/01/1987;35579
Acadia NP;01/02/1987;35766
Acadia NP;01/03/1987;56924
Acadia NP;01/04/1987;292358
Acadia NP;01/05/1987;444265
Acadia NP;01/06/1987;523486
Acadia NP;01/07/1987;751309
Acadia NP;01/08/1987;786970
Acadia NP;01/09/1987;562309
Acadia NP;01/10/1987;444810
Acadia NP;01/11/1987;299699
Acadia NP;01/12/1987;54679
Acadia NP;01/01/1988;43462
Acadia NP;01/02/1988;30060
Acadia NP;01/03/1988;54253
Acadia NP;01/04/1988;223653
Acadia NP;01/05/1988;448299
Acadia NP;01/06/1988;582015
Acadia NP;01/07/1988;799802
Acadia NP;01/08/1988;909762
Acadia NP;01/09/1988;601530
Acadia NP;01/10/1988;455637
Acadia NP;01/11/1988;303503
Acadia NP;01/12/1988;50307
Acadia NP;01/01/1989;41114
Acadia NP;01/02/1989;42012
Acadia NP;01/03/1989;74773
Acadia NP;01/04/1989;324714
Acadia NP;01/05/1989;579272
Acadia NP;01/06/1989;704488
Acadia NP;01/07/1989;999535
Acadia NP;01/08/1989;1045060
Acadia NP;01/09/1989;666669
Acadia NP;01/10/1989;610334
Acadia NP;01/11/1989;302857
Acadia NP;01/12/1989;50124
Acadia NP;01/01/1990;16084
Acadia NP;01/02/1990;13383
Acadia NP;01/03/1990;30060
Acadia NP;01/04/1990;17898
Acadia NP;01/05/1990;148090
Acadia NP;01/06/1990;290533
Acadia NP;01/07/1990;554953
Acadia NP;01/08/1990;645522
Acadia NP;01/09/1990;355864
Acadia NP;01/10/1990;207770
Acadia NP;01/11/1990;47633
Acadia NP;01/12/1990;11801
Acadia NP;01/01/1991;24588
Acadia NP;01/02/1991;14667
Acadia NP;01/03/1991;31291
Acadia NP;01/04/1991;75738
Acadia NP;01/05/1991;157252
Acadia NP;01/06/1991;295348
Acadia NP;01/07/1991;574529
Acadia NP;01/08/1991;640990
Acadia NP;01/09/1991;377904
Acadia NP;01/10/1991;224497
Acadia NP;01/11/1991;45518
Acadia NP;01/12/1991;13535
Acadia NP;01/01/1992;17510
Acadia NP;01/02/1992;21110
Acadia NP;01/03/1992;30312
Acadia NP;01/04/1992;63276
Acadia NP;01/05/1992;164400
Acadia NP;01/06/1992;262173
Acadia NP;01/07/1992;539109
Acadia NP;01/08/1992;615843
Acadia NP;01/09/1992;391798
Acadia NP;01/10/1992;211573
Acadia NP;01/11/1992;46316
Acadia NP;01/12/1992;18693
Acadia NP;01/01/1993;19402
Acadia NP;01/02/1993;15556
Acadia NP;01/03/1993;29040
Acadia NP;01/04/1993;57707
Acadia NP;01/05/1993;192823
Acadia NP;01/06/1993;300647
Acadia NP;01/07/1993;586449
Acadia NP;01/08/1993;719671
Acadia NP;01/09/1993;417317
Acadia NP;01/10/1993;254615
Acadia NP;01/11/1993;43755
Acadia NP;01/12/1993;19052
Acadia NP;01/01/1994;13364
Acadia NP;01/02/1994;18112
Acadia NP;01/03/1994;29086
Acadia NP;01/04/1994;58788
Acadia NP;01/05/1994;182781
Acadia NP;01/06/1994;311803
Acadia NP;01/07/1994;617622
Acadia NP;01/08/1994;720079
Acadia NP;01/09/1994;421106
Acadia NP;01/10/1994;268779
Acadia NP;01/11/1994;48907
Acadia NP;01/12/1994;20322
Acadia NP;01/01/1995;14894
Acadia NP;01/02/1995;20510
Acadia NP;01/03/1995;32120
Acadia NP;01/04/1995;86198
Acadia NP;01/05/1995;175550
Acadia NP;01/06/1995;355270
Acadia NP;01/07/1995;626947
Acadia NP;01/08/1995;753799
Acadia NP;01/09/1995;439553
Acadia NP;01/10/1995;271606
Acadia NP;01/11/1995;54121
Acadia NP;01/12/1995;14810
Acadia NP;01/01/1996;17655
Acadia NP;01/02/1996;15576
Acadia NP;01/03/1996;32452
Acadia NP;01/04/1996;76597
Acadia NP;01/05/1996;166290
Acadia NP;01/06/1996;327723
Acadia NP;01/07/1996;571017
Acadia NP;01/08/1996;714090
Acadia NP;01/09/1996;426562
Acadia NP;01/10/1996;280577
Acadia NP;01/11/1996;56828
Acadia NP;01/12/1996;19464
Acadia NP;01/01/1997;16292
Acadia NP;01/02/1997;17230
Acadia NP;01/03/1997;27035
Acadia NP;01/04/1997;77005
Acadia NP;01/05/1997;132194
Acadia NP;01/06/1997;340064
Acadia NP;01/07/1997;622847
Acadia NP;01/08/1997;758140
Acadia NP;01/09/1997;404808
Acadia NP;01/10/1997;287171
Acadia NP;01/11/1997;57810
Acadia NP;01/12/1997;19710
Acadia NP;01/01/1998;16726
Acadia NP;01/02/1998;17028
Acadia NP;01/03/1998;27500
Acadia NP;01/04/1998;81896
Acadia NP;01/05/1998;148052
Acadia NP;01/06/1998;307208
Acadia NP;01/07/1998;565477
Acadia NP;01/08/1998;701097
Acadia NP;01/09/1998;391378
Acadia NP;01/10/1998;266138
Acadia NP;01/11/1998;55225
Acadia NP;01/12/1998;16772
Acadia NP;01/01/1999;16430
Acadia NP;01/02/1999;17162
Acadia NP;01/03/1999;33688
Acadia NP;01/04/1999;82993
Acadia NP;01/05/1999;174610
Acadia NP;01/06/1999;315980
Acadia NP;01/07/1999;562996
Acadia NP;01/08/1999;639073
Acadia NP;01/09/1999;426024
Acadia NP;01/10/1999;277644
Acadia NP;01/11/1999;39416
Acadia NP;01/12/1999;16211
Acadia NP;01/01/2000;22500
Acadia NP;01/02/2000;23848
Acadia NP;01/03/2000;35423
Acadia NP;01/04/2000;78555
Acadia NP;01/05/2000;166456
Acadia NP;01/06/2000;319208
Acadia NP;01/07/2000;547929
Acadia NP;01/08/2000;594904
Acadia NP;01/09/2000;378135
Acadia NP;01/10/2000;253626
Acadia NP;01/11/2000;33693
Acadia NP;01/12/2000;14961
Acadia NP;01/01/2001;18090
Acadia NP;01/02/2001;23926
Acadia NP;01/03/2001;35473
Acadia NP;01/04/2001;76007
Acadia NP;01/05/2001;157353
Acadia NP;01/06/2001;325242
Acadia NP;01/07/2001;558641
Acadia NP;01/08/2001;630240
Acadia NP;01/09/2001;377456
Acadia NP;01/10/2001;257280
Acadia NP;01/11/2001;41353
Acadia NP;01/12/2001;15490
Acadia NP;01/01/2002;15309
Acadia NP;01/02/2002;25071
Acadia NP;01/03/2002;34498
Acadia NP;01/04/2002;72528
Acadia NP;01/05/2002;163145
Acadia NP;01/06/2002;325441
Acadia NP;01/07/2002;571119
Acadia NP;01/08/2002;636824
Acadia NP;01/09/2002;392531
Acadia NP;01/10/2002;271312
Acadia NP;01/11/2002;36589
Acadia NP;01/12/2002;14205
Acadia NP;01/01/2003;22917
Acadia NP;01/02/2003;21993
Acadia NP;01/03/2003;34274
Acadia NP;01/04/2003;68444
Acadia NP;01/05/2003;135443
Acadia NP;01/06/2003;309230
Acadia NP;01/07/2003;547836
Acadia NP;01/08/2003;595191
Acadia NP;01/09/2003;376060
Acadia NP;01/10/2003;262412
Acadia NP;01/11/2003;44294
Acadia NP;01/12/2003;12968
Acadia NP;01/01/2004;11861
Acadia NP;01/02/2004;14266
Acadia NP;01/03/2004;20952
Acadia NP;01/04/2004;60180
Acadia NP;01/05/2004;134597
Acadia NP;01/06/2004;305134
Acadia NP;01/07/2004;471406
Acadia NP;01/08/2004;524675
Acadia NP;01/09/2004;357146
Acadia NP;01/10/2004;261284
Acadia NP;01/11/2004;34125
Acadia NP;01/12/2004;12221
Acadia NP;01/01/2005;10810
Acadia NP;01/02/2005;11831
Acadia NP;01/03/2005;18917
Acadia NP;01/04/2005;59773
Acadia NP;01/05/2005;110330
Acadia NP;01/06/2005;275175
Acadia NP;01/07/2005;468512
Acadia NP;01/08/2005;519350
Acadia NP;01/09/2005;321070
Acadia NP;01/10/2005;207599
Acadia NP;01/11/2005;37101
Acadia NP;01/12/2005;11016
Acadia NP;01/01/2006;13494
Acadia NP;01/02/2006;12924
Acadia NP;01/03/2006;21695
Acadia NP;01/04/2006;59034
Acadia NP;01/05/2006;120889
Acadia NP;01/06/2006;244333
Acadia NP;01/07/2006;476631
Acadia NP;01/08/2006;506833
Acadia NP;01/09/2006;330649
Acadia NP;01/10/2006;249850
Acadia NP;01/11/2006;33903
Acadia NP;01/12/2006;13353
Acadia NP;01/01/2007;12415
Acadia NP;01/02/2007;11068
Acadia NP;01/03/2007;19220
Acadia NP;01/04/2007;61775
Acadia NP;01/05/2007;132152
Acadia NP;01/06/2007;273765
Acadia NP;01/07/2007;461894
Acadia NP;01/08/2007;544892
Acadia NP;01/09/2007;371217
Acadia NP;01/10/2007;263311
Acadia NP;01/11/2007;41449
Acadia NP;01/12/2007;9070
Acadia NP;01/01/2008;10744
Acadia NP;01/02/2008;11131
Acadia NP;01/03/2008;17489
Acadia NP;01/04/2008;53798
Acadia NP;01/05/2008;125679
Acadia NP;01/06/2008;263542
Acadia NP;01/07/2008;470295
Acadia NP;01/08/2008;514443
Acadia NP;01/09/2008;319582
Acadia NP;01/10/2008;246533
Acadia NP;01/11/2008;32759
Acadia NP;01/12/2008;9862
Acadia NP;01/01/2009;9366
Acadia NP;01/02/2009;9751
Acadia NP;01/03/2009;19258
Acadia NP;01/04/2009;59277
Acadia NP;01/05/2009;129885
Acadia NP;01/06/2009;244780
Acadia NP;01/07/2009;457622
Acadia NP;01/08/2009;586446
Acadia NP;01/09/2009;399789
Acadia NP;01/10/2009;258007
Acadia NP;01/11/2009;44042
Acadia NP;01/12/2009;9475
Acadia NP;01/01/2010;10510
Acadia NP;01/02/2010;13398
Acadia NP;01/03/2010;26080
Acadia NP;01/04/2010;57992
Acadia NP;01/05/2010;169898
Acadia NP;01/06/2010;286635
Acadia NP;01/07/2010;545382
Acadia NP;01/08/2010;627918
Acadia NP;01/09/2010;431001
Acadia NP;01/10/2010;289114
Acadia NP;01/11/2010;36736
Acadia NP;01/12/2010;9544
Acadia NP;01/01/2011;10428
Acadia NP;01/02/2011;9533
Acadia NP;01/03/2011;19510
Acadia NP;01/04/2011;58307
Acadia NP;01/05/2011;132720
Acadia NP;01/06/2011;297222
Acadia NP;01/07/2011;559892
Acadia NP;01/08/2011;583153
Acadia NP;01/09/2011;387868
Acadia NP;01/10/2011;270477
Acadia NP;01/11/2011;34192
Acadia NP;01/12/2011;11343
Acadia NP;01/01/2012;11930
Acadia NP;01/02/2012;12388
Acadia NP;01/03/2012;22684
Acadia NP;01/04/2012;59471
Acadia NP;01/05/2012;157406
Acadia NP;01/06/2012;309198
Acadia NP;01/07/2012;539234
Acadia NP;01/08/2012;574307
Acadia NP;01/09/2012;391810
Acadia NP;01/10/2012;302932
Acadia NP;01/11/2012;38385
Acadia NP;01/12/2012;11307
Acadia NP;01/01/2013;11249
Acadia NP;01/02/2013;9869
Acadia NP;01/03/2013;20631
Acadia NP;01/04/2013;47090
Acadia NP;01/05/2013;133653
Acadia NP;01/06/2013;315791
Acadia NP;01/07/2013;555308
Acadia NP;01/08/2013;617306
Acadia NP;01/09/2013;400400
Acadia NP;01/10/2013;94904
Acadia NP;01/11/2013;41181
Acadia NP;01/12/2013;7540
Acadia NP;01/01/2014;10459
Acadia NP;01/02/2014;10258
Acadia NP;01/03/2014;17502
Acadia NP;01/04/2014;57211
Acadia NP;01/05/2014;153013
Acadia NP;01/06/2014;338845
Acadia NP;01/07/2014;561073
Acadia NP;01/08/2014;638152
Acadia NP;01/09/2014;418173
Acadia NP;01/10/2014;313920
Acadia NP;01/11/2014;31013
Acadia NP;01/12/2014;13510
Acadia NP;01/01/2015;12578
Acadia NP;01/02/2015;10626
Acadia NP;01/03/2015;18062
Acadia NP;01/04/2015;63214
Acadia NP;01/05/2015;187205
Acadia NP;01/06/2015;359661
Acadia NP;01/07/2015;606597
Acadia NP;01/08/2015;666767
Acadia NP;01/09/2015;479320
Acadia NP;01/10/2015;344362
Acadia NP;01/11/2015;48912
Acadia NP;01/12/2015;13880
Acadia NP;01/01/2016;17204
Acadia NP;01/02/2016;16530
Acadia NP;01/03/2016;28121
Acadia NP;01/04/2016;94199
Acadia NP;01/05/2016;217147
Acadia NP;01/06/2016;445410
Acadia NP;01/07/2016;696854
Acadia NP;01/08/2016;735945
Acadia NP;01/09/2016;570434
Acadia NP;01/10/2016;412416
Acadia NP;01/11/2016;55022
Acadia NP;01/12/2016;14111
Acadia NP;01/01/2017;15520
Acadia NP;01/02/2017;14342
Acadia NP;01/03/2017;20936
Acadia NP;01/04/2017;85267
Acadia NP;01/05/2017;222978
Acadia NP;01/06/2017;476191
